first_name,last_name,home_address,company,mit_grad_year,work_address,email,job_title
Esosa,Amayo,,Apple Inc,,,,Data Scientist
Dean,Cerrato,,PatientsLikeMe,,,,Data Scientist
Brian,Cass,,White Ops,,,,Data Scientist
Daizhuo,Chen,,Dstillery,,,,Data Scientist
Matthew,Bruchon,,Booz Allen Hamilton,,,,Data Scientist
Susan,Buchman,,Alcoa Inc.,,,,Senior Data Scientist
Alan,Ratner,,Retired Knowledge Engineer/Data Scientist,,,,Part-time community college math/physics tutor
Thomas,Alcorn,,Adharmonics,,,,Data Scientist
Job,Evers,,Udacity,,,,Data Scientist
Miaoqing,Fang,,Facebook,,,,Data Scientist
Katie,Everett,,Twitter Inc,,,,Data Scientist
Ronald,Focia,,"Aspire Ventures, LLC.",,,,Data Scientist
David,Bermejo,,Packback Books,,,,Marketing Analyst and Data Scientist
Brock,Bose,,Accenture,,,,Technology Consultant & Data Scientist
Edoardo,Conti,,Uber,,,,Data Scientist
Wojciech,Musial,,Quid,,,,Data Scientist
Christopher,Cunningham,,HealthSense,,,,Data Scientist
Arvind,Prabhakar,,AT&T,,,,Senior Data Scientist
Thomas,Moyer,,Humetica,,,,data scientist
Marlene,Moyer,,International Business Machines Corporat,,,,Data Scientist
Ian,Murray,,Humin,,,,Data Scientist
Luc,Mehl,,Axiom Data Science,,,,Environmental Data Scientist
Joseph,Marr,,SYNTASAâ¢,,,,Senior Principal Data Scientist
Jeffrey,Marcus,,Kayak,,,,Senior Data Scientist
Nargiss,Mouatta,,Spartz,,,,Jr. Data Scientist
Ting,Mao,,GrabTaxi,,,,Data Scientist
Christopher,Luhrs,,Facebook,,,,Data Scientist
Jialing,Li,,Microsoft Corporation,,,,Data Scientist
Walter,Linde-Zwirble,,Trexin Consulting Inc,,,,"Chief Data Scientist, Health Economics"
David,Lepzelter,,IgnitionOne,,,,Data Scientist
Richard,LaPointe,,Facebook,,,,Data Scientist
Francis,Lam,,Aetion,,,,Principal Data Scientist
John,Lakness,,,,,,Data Scientist
Maokai,Lin,,Smarking Inc,,,,Data Scientist
Uri,Laserson,,Cloudera,,,,Data scientist
Bharath,Krishnan,,CQuotient,,,,Principal Data Scientist
Mauricio,Roman,,Loggly,,,,Data Scientist
Karen,Sittig,,Twitter Inc,,,,Data Scientist
Mark,Wang,,Employee Stock Option (ESO) Fund,,,,Chief Data Scientist
Terrance,Barker,,HNC Software - Retired,,,,Sr Staff Scientist
Mark,Borowsky,,Novartis Institute for Biomedical Research,,,,"Executive Director, Data Analytics"
Ranee,Brylinski,,Brylinski Research,,,,"Co-Founder, Chief Scientist, Co-CEO"
James,Thornbrue,,UCSD,,,,Data Scientist
Anthony,Harkin,,Rochester Institute of Technology,,,,Math Professor
Emily,Wang,,Uber Technologies,,,,Data Scientist
Keith,Bonawitz,,,,,,
Jeffrey,Borowitz,,Giant Oak,,,,Social Scientist
Michelle,Bonugli,,CACI International,,,,Senior IT Scientist
Robert,Bieri,,SAIC Science Applications International Corporation,,,,Senior Engineer
Paul,Bayer,,WSI,,,,Chief Scientist
Konstantinos,Arkoudas,,Bloomberg R&D,,,,Senior Computer Scientist
Frank,Bentley,,Yahoo!,,,,Principal Research Scientist
David,Bacon,,Science Applications International Corporation,,,,"Director, Center for Atmospheric Physics"
Erik,Lickerman,,,,,,
Paul,Acosta,,MIT Laboratory for Nuclear Science,,,,Computer Services Group Manager
Richard,Alexander,,Self Employed,,,,
